STATUS | wrapper  | 2018/07/25 16:45:46 | --> Wrapper Started as Daemon
INFO   | jvm 1    | 2018/07/25 17:17:47 | Jul 25, 2018 5:17:47 PM Wiki search
INFO   | jvm 1    | 2018/07/25 17:17:47 | INFO: Fetching URL https://en.wikipedia.org/w/api.php?format=xml&maxlag=5&action=query&list=search&srwhat=text&srprop=snippet%7Csectionsnippet%7CwordCount%7Cscore&srlimit=50&srsearch=napoleon&srnamespace=0&sroffset=0
INFO   | jvm 1    | 2018/07/25 17:17:48 | Jul 25, 2018 5:17:48 PM Wiki namespace
INFO   | jvm 1    | 2018/07/25 17:17:48 | INFO: Fetching URL https://en.wikipedia.org/w/api.php?format=xml&maxlag=5&action=query&meta=siteinfo&siprop=namespaces%7Cnamespacealiases
INFO   | jvm 1    | 2018/07/25 17:17:48 | Jul 25, 2018 5:17:48 PM Wiki namespace
INFO   | jvm 1    | 2018/07/25 17:17:48 | INFO: [en.wikipedia.org] Successfully retrieved namespace list (41 namespaces)
INFO   | jvm 1    | 2018/07/25 17:17:48 | Jul 25, 2018 5:17:48 PM Wiki search
INFO   | jvm 1    | 2018/07/25 17:17:48 | INFO: Fetching URL https://en.wikipedia.org/w/api.php?format=xml&maxlag=5&action=query&list=search&srwhat=text&srprop=snippet%7Csectionsnippet%7CwordCount%7Cscore&srlimit=50&srsearch=napoleon&srnamespace=0&sroffset=50
INFO   | jvm 1    | 2018/07/25 17:17:49 | Jul 25, 2018 5:17:49 PM Wiki search
INFO   | jvm 1    | 2018/07/25 17:17:49 | INFO: [en.wikipedia.org] Successfully searched for string "napoleon" (97 items found)
INFO   | jvm 1    | 2018/07/25 17:17:49 | web - 2018-07-25 17:17:49,098 [qtp1435909461-23] INFO  i.u.w.course.search.PageServiceImpl - getPagesNoSql() total pageRequest => 97 
INFO   | jvm 1    | 2018/07/25 17:17:49 | web - 2018-07-25 17:17:49,385 [qtp1435909461-23] INFO  org.mongodb.driver.cluster - Cluster created with settings {hosts=[localhost:27017], mode=SINGLE, requiredClusterType=UNKNOWN, serverSelectionTimeout='30000 ms', maxWaitQueueSize=500}
INFO   | jvm 1    | 2018/07/25 17:17:49 | web - 2018-07-25 17:17:49,544 [qtp1435909461-23] INFO  org.mongodb.driver.cluster - Cluster description not yet available. Waiting for 30000 ms before timing out
INFO   | jvm 1    | 2018/07/25 17:17:49 | web - 2018-07-25 17:17:49,550 [cluster-ClusterId{value='5b59132da5b7da2cf24939a5', description='null'}-localhost:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:1, serverValue:549}] to localhost:27017
INFO   | jvm 1    | 2018/07/25 17:17:49 | web - 2018-07-25 17:17:49,562 [cluster-ClusterId{value='5b59132da5b7da2cf24939a5', description='null'}-localhost:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=localhost:27017, type=STANDALONE, state=CONNECTED, ok=true, version=ServerVersion{versionList=[3, 6, 3]}, minWireVersion=0, maxWireVersion=6, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=7957233}
INFO   | jvm 1    | 2018/07/25 17:17:49 | web - 2018-07-25 17:17:49,607 [qtp1435909461-23] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:2, serverValue:550}] to localhost:27017
INFO   | jvm 1    | 2018/07/25 17:17:50 | web - 2018-07-25 17:17:50,343 [qtp1435909461-23] INFO  i.u.w.course.search.PageServiceImpl - getPagesNoSql() present in NoSql => 86
INFO   | jvm 1    | 2018/07/25 17:17:50 | web - 2018-07-25 17:17:50,344 [qtp1435909461-23] INFO  i.u.w.course.search.PageServiceImpl - getPagesNoSql() present in MySql => 0
INFO   | jvm 1    | 2018/07/25 17:17:50 | web - 2018-07-25 17:17:50,344 [qtp1435909461-23] INFO  i.u.w.course.search.PageServiceImpl - getPagesNoSql() present in Wikipedia => 0
INFO   | jvm 1    | 2018/07/25 17:18:17 | Jul 25, 2018 5:18:17 PM Wiki search
INFO   | jvm 1    | 2018/07/25 17:18:17 | INFO: Fetching URL https://en.wikipedia.org/w/api.php?format=xml&maxlag=5&action=query&list=search&srwhat=text&srprop=snippet%7Csectionsnippet%7CwordCount%7Cscore&srlimit=50&srsearch=napoleon&srnamespace=0&sroffset=0
INFO   | jvm 1    | 2018/07/25 17:18:18 | Jul 25, 2018 5:18:17 PM Wiki namespace
INFO   | jvm 1    | 2018/07/25 17:18:18 | INFO: Fetching URL https://en.wikipedia.org/w/api.php?format=xml&maxlag=5&action=query&meta=siteinfo&siprop=namespaces%7Cnamespacealiases
INFO   | jvm 1    | 2018/07/25 17:18:18 | Jul 25, 2018 5:18:18 PM Wiki namespace
INFO   | jvm 1    | 2018/07/25 17:18:18 | INFO: [en.wikipedia.org] Successfully retrieved namespace list (41 namespaces)
INFO   | jvm 1    | 2018/07/25 17:18:18 | Jul 25, 2018 5:18:18 PM Wiki search
INFO   | jvm 1    | 2018/07/25 17:18:18 | INFO: Fetching URL https://en.wikipedia.org/w/api.php?format=xml&maxlag=5&action=query&list=search&srwhat=text&srprop=snippet%7Csectionsnippet%7CwordCount%7Cscore&srlimit=50&srsearch=napoleon&srnamespace=0&sroffset=50
INFO   | jvm 1    | 2018/07/25 17:18:18 | Jul 25, 2018 5:18:18 PM Wiki search
INFO   | jvm 1    | 2018/07/25 17:18:18 | INFO: [en.wikipedia.org] Successfully searched for string "napoleon" (97 items found)
INFO   | jvm 1    | 2018/07/25 17:18:18 | web - 2018-07-25 17:18:18,527 [qtp1435909461-22] INFO  i.u.w.course.search.PageServiceImpl - getPagesNoSql() total pageRequest => 97 
INFO   | jvm 1    | 2018/07/25 17:18:19 | web - 2018-07-25 17:18:19,057 [qtp1435909461-22] INFO  i.u.w.course.search.PageServiceImpl - getPagesNoSql() present in NoSql => 86
INFO   | jvm 1    | 2018/07/25 17:18:19 | web - 2018-07-25 17:18:19,058 [qtp1435909461-22] INFO  i.u.w.course.search.PageServiceImpl - getPagesNoSql() present in MySql => 0
INFO   | jvm 1    | 2018/07/25 17:18:19 | web - 2018-07-25 17:18:19,058 [qtp1435909461-22] INFO  i.u.w.course.search.PageServiceImpl - getPagesNoSql() present in Wikipedia => 0
INFO   | jvm 1    | 2018/07/25 17:18:44 | web - 2018-07-25 17:18:44,118 [qtp1435909461-24] INFO  i.u.w.w.c.SequenceController - Build From Title Napoleon
INFO   | jvm 1    | 2018/07/25 17:18:44 | web - 2018-07-25 17:18:44,453 [qtp1435909461-24] INFO  i.u.w.course.search.PageServiceImpl - Categories => []
INFO   | jvm 1    | 2018/07/25 17:18:44 | web - 2018-07-25 17:18:44,751 [qtp1435909461-24] INFO  i.u.w.course.search.PageServiceImpl - getPagesNoSql() total pageRequest => 57 
INFO   | jvm 1    | 2018/07/25 17:18:45 | web - 2018-07-25 17:18:45,365 [qtp1435909461-24] INFO  i.u.w.course.search.PageServiceImpl - getPagesNoSql() present in NoSql => 43
INFO   | jvm 1    | 2018/07/25 17:18:45 | web - 2018-07-25 17:18:45,366 [qtp1435909461-24] INFO  i.u.w.course.search.PageServiceImpl - getPagesNoSql() present in MySql => 0
INFO   | jvm 1    | 2018/07/25 17:18:45 | web - 2018-07-25 17:18:45,366 [qtp1435909461-24] INFO  i.u.w.course.search.PageServiceImpl - getPagesNoSql() total pageRequest => 4 
INFO   | jvm 1    | 2018/07/25 17:18:45 | web - 2018-07-25 17:18:45,387 [qtp1435909461-24] INFO  i.u.w.course.search.PageServiceImpl - getPagesNoSql() present in NoSql => 1
INFO   | jvm 1    | 2018/07/25 17:18:45 | web - 2018-07-25 17:18:45,387 [qtp1435909461-24] INFO  i.u.w.course.search.PageServiceImpl - getPagesNoSql() present in MySql => 0
INFO   | jvm 1    | 2018/07/25 17:18:45 | web - 2018-07-25 17:18:45,387 [qtp1435909461-24] INFO  i.u.w.course.search.PageServiceImpl - getPagesNoSql() present in Wikipedia => 0
INFO   | jvm 1    | 2018/07/25 17:18:45 | web - 2018-07-25 17:18:45,387 [qtp1435909461-24] INFO  i.u.w.course.search.PageServiceImpl - getPagesNoSql() present in Wikipedia => 0
INFO   | jvm 1    | 2018/07/25 17:18:48 | web - 2018-07-25 17:18:48,389 [qtp1435909461-24] INFO  i.u.w.course.search.PageServiceImpl - getPagesNoSql() total pageRequest => 722 
INFO   | jvm 1    | 2018/07/25 17:18:52 | web - 2018-07-25 17:18:52,385 [qtp1435909461-24] INFO  i.u.w.course.search.PageServiceImpl - getPagesNoSql() present in NoSql => 448
INFO   | jvm 1    | 2018/07/25 17:18:52 | web - 2018-07-25 17:18:52,385 [qtp1435909461-24] INFO  i.u.w.course.search.PageServiceImpl - getPagesNoSql() present in MySql => 0
